Time;Voltage
0;1,04
0,01;1,04
0,02;1,04
0,03;1,04
0,04;1,04
0,05;1,04
0,06;1,04
0,07;1,04
0,08;1,04
0,09;1,04
0,1;1,04
0,11;1,04
0,12;1,04
0,13;1,04
0,14;1,04
0,15;1,04
0,16;1,04
0,17;1,04
0,18;1,04
0,19;1,04
0,2;1,04
0,21;1,04
0,22;1,04
0,23;1,04
0,24;1,04
0,25;1,04
0,26;1,04
0,27;1,04
0,28;1,04
0,29;1,04
0,3;1,04
0,31;1,04
0,32;1,04
0,33;1,04
0,34;1,04
0,35;1,04
0,36;1,04
0,37;1,04
0,38;1,04
0,39;1,04
0,4;1,04
0,41;1,04
0,42;1,04
0,43;1,04
0,44;1,04
0,45;1,04
0,46;1,04
0,47;1,04
0,48;1,04
0,49;1,04
0,5;1,04
0,51;1,04
0,52;1,04
0,53;1,04
0,54;1,04
0,55;1,04
0,56;1,04
0,57;1,04
0,58;1,04
0,59;1,04
0,6;1,04
0,61;1,04
0,62;1,04
0,63;1,04
0,64;1,04
0,65;1,04
0,66;1,04
0,67;1,04
0,68;1,04
0,69;1,04
0,7;1,04
0,71;1,04
0,72;1,04
0,73;1,04
0,74;1,04
0,75;1,04
0,76;1,04
0,77;1,04
0,78;1,04
0,79;1,04
0,8;1,04
0,81;1,04
0,82;1,04
0,83;1,04
0,84;1,04
0,85;1,04
0,86;1,04
0,87;1,04
0,88;1,04
0,89;1,04
0,9;1,04
0,91;1,04
0,92;1,04
0,93;1,04
0,94;1,04
0,95;1,04
0,96;1,04
0,97;1,04
0,98;1,04
0,99;1,04
1;1,04
1;0,600250594
1,01;0,599894325
1,02;0,599561648
1,03;0,599251802
1,04;0,598963177
1,05;0,598693435
1,06;0,598439684
1,07;0,598198632
1,08;0,597966709
1,09;0,597740179
1,1;0,597515234
1,11;0,597288083
1,12;0,597055027
1,13;0,596812538
1,14;0,596557322
1,15;0,596286389
1,16;0,595997105
1,17;0,59568724
1,18;0,595355004
1,19;0,594999071
1,2;0,594618584
1,21;0,594213148
1,22;0,593782806
1,23;0,593327997
1,24;0,592849511
1,25;0,592348419
1,26;0,591826006
1,27;0,591283699
1,28;0,590722992
1,29;0,590145378
1,3;0,589552282
1,3;0,967441362
1,31;0,96466301
1,32;0,962455794
1,33;0,960838756
1,34;0,959805015
1,35;0,959332247
1,36;0,959390482
1,37;0,959947225
1,38;0,960970243
1,39;0,962428463
1,4;0,964291507
1,41;0,966528314
1,42;0,969105301
1,43;0,971984393
1,44;0,975121173
1,45;0,978463159
1,46;0,981948949
1,47;0,985509321
